0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,2,0,2,3,0,11,11,11,11,11,11,11,11,0,-1.000,2.000,-1.000,0.000,0.000,-1.000,-1.000,535.000,518.000,1376.000,493.000,409.000,445.000,354.000,205.000,175.000,236.000,123.000,161.000,256.000,105.000,164.000,152.000
0,0,2,0,-1,0,0,1,1,-3,0,-1,-1,-1,-1,-2,0,0,0,1,-1,0,0,0,0,0,16,16,15,15,15,15,15,15,1,0.000,3.000,-1.000,0.000,0.000,-1.000,-1.000,58.000,70.000,130.000,56.000,132.000,159.000,145.000,64.000,55.000,80.000,133.000,151.000,131.000,59.000,59.000,29.000
0,0,0,0,0,0,0,0,0,0,0,-1,-1,-2,-1,-2,0,0,0,-1,-1,0,0,0,2,4,15,14,13,13,14,13,13,13,0,-1.000,2.000,-1.000,0.000,0.000,-1.000,-1.000,3.000,4.000,4.000,6.000,1.000,2.000,0.000,4.000,3.000,3.000,6.000,1.000,1.000,1.000,1.000,1.000
0,0,0,0,0,-1,0,0,-1,-1,-1,-1,1,0,0,0,0,0,0,0,-1,2,0,2,3,4,6,6,6,6,8,8,8,8,1,0.000,3.000,-1.000,0.000,0.000,-1.000,-1.000,66.000,54.000,36.000,78.000,204.000,178.000,208.000,110.000,143.000,251.000,189.000,143.000,188.000,280.000,209.000,149.000
0,0,0,-1,0,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,-1,2,0,2,37,41,10,10,10,10,10,10,10,10,0,-1.000,1.000,-1.000,0.000,0.000,0.000,0.000,168.000,201.000,786.000,366.000,2137.000,2783.000,2364.000,775.000,1187.000,860.000,748.000,1004.000,1021.000,2316.000,2362.000,1685.000
0,1,0,0,1,2,1,2,2,1,1,2,0,0,0,0,0,1,0,1,-1,1,0,1,28,28,10,10,10,10,10,10,10,10,0,-1.000,2.000,-1.000,0.000,0.000,-1.000,-1.000,5.000,1.000,1.000,1.000,2.000,13.000,4.000,5.000,2.000,18.000,8.000,2.000,7.000,10.000,3.000,11.000
1,0,0,0,2,2,2,1,2,1,2,2,0,0,0,0,0,0,0,1,-1,0,0,1,49,50,9,8,8,8,8,8,8,8,1,0.000,3.000,-1.000,0.000,0.000,-1.000,-1.000,4759.000,5085.000,4134.000,4258.000,2185.000,1910.000,2165.000,2017.000,1993.000,2520.000,2329.000,2147.000,2744.000,1275.000,1420.000,1928.000
1,1,1,1,1,1,1,1,2,2,1,2,2,1,2,2,2,2,1,1,-1,0,0,1,118,114,4,5,4,4,4,5,4,3,0,-1.000,1.000,-1.000,0.000,0.000,-1.000,-1.000,16.000,13.000,17.000,25.000,2812.000,1632.000,1339.000,593.000,415.000,130.000,1529.000,1568.000,985.000,2839.000,1817.000,870.000
1,2,1,1,0,1,1,1,1,2,1,2,2,2,2,2,1,1,1,1,-1,2,0,2,109,113,13,12,12,12,12,12,12,12,1,-1.000,2.000,-1.000,0.000,0.000,-1.000,-1.000,2.000,1.000,2.000,1.000,2.000,2.000,1.000,7.000,3.000,11.000,1.000,3.000,5.000,2.000,5.000,2.000
-1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,2,0,2,692,642,9,10,9,9,10,10,10,10,0,-1.000,2.000,-1.000,0.000,0.000,-1.000,-1.000,2997.000,3258.000,2935.000,1941.000,5557.000,4094.000,4199.000,3765.000,2551.000,6224.000,1012.000,1100.000,1533.000,3211.000,2390.000,3339.000
0,0,0,0,0,0,0,0,-1,-1,-1,-1,1,0,1,0,0,0,0,0,-1,0,0,1,559,561,6,6,6,6,6,6,6,7,0,-1.000,2.000,-1.000,0.000,0.000,-1.000,-1.000,15.000,28.000,97.000,25.000,89.000,129.000,62.000,27.000,47.000,19.000,228.000,196.000,247.000,39.000,69.000,58.000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,-3,-1,-1,1,0,2449,2474,13,13,12,12,13,12,12,12,0,-1.000,1.000,-1.000,0.000,0.000,-1.000,-1.000,143.000,145.000,303.000,149.000,255.000,247.000,260.000,117.000,170.000,153.000,133.000,133.000,152.000,194.000,178.000,170.000
0,0,-1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,-1,2,0,2,1958,1932,4,4,4,4,5,5,5,5,0,0.000,3.000,0.000,-1.000,1.000,-1.000,1.000,2.000,3.000,6.000,13.000,13.000,4.000,9.000,5.000,12.000,7.000,7.000,13.000,4.000,1.000,11.000,17.000
0,0,0,-1,0,-1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,-1,2,0,2,1,0,11,11,10,11,11,11,11,11,0,-1.000,2.000,-1.000,0.000,0.000,-1.000,-1.000,24.000,7.000,24.000,9.000,6.000,10.000,2.000,11.000,10.000,16.000,2.000,1.000,4.000,5.000,10.000,12.000
0,1,4,1,0,-1,1,0,5,1,3,1,2,-1,1,0,0,0,0,-1,-1,2,0,2,2,0,1,1,1,3,3,3,3,4,0,-1.000,2.000,-1.000,0.000,0.000,-1.000,-1.000,756.000,1307.000,446.000,424.000,70.000,53.000,33.000,146.000,54.000,137.000,140.000,83.000,64.000,123.000,78.000,77.000
1,0,2,0,3,0,0,1,1,1,4,0,1,2,1,0,0,0,0,0,-1,2,0,2,0,2,8,8,8,8,9,9,9,9,0,-1.000,1.000,-1.000,0.000,0.000,-1.000,-1.000,25.000,31.000,22.000,20.000,16.000,32.000,22.000,10.000,22.000,35.000,15.000,28.000,35.000,26.000,21.000,21.000
0,-1,0,0,0,-1,0,-1,-1,-2,0,-2,-1,-1,-1,-1,0,-1,0,0,-1,1,0,1,0,0,6,7,6,6,7,7,7,7,-1,0.000,0.000,-1.000,0.000,0.000,0.000,0.000,5.000,5.000,2.000,4.000,9.000,10.000,4.000,11.000,24.000,8.000,4.000,5.000,9.000,21.000,20.000,9.000
0,-1,0,0,0,-1,0,0,-1,-2,-1,-2,-1,-1,-1,0,0,0,0,0,-1,1,0,1,3,2,12,12,11,11,11,11,11,11,0,-1.000,1.000,-1.000,0.000,0.000,-1.000,0.000,664.000,680.000,864.000,1090.000,1603.000,1924.000,2318.000,2343.000,2954.000,2187.000,2693.000,2938.000,2773.000,2471.000,2477.000,3076.000
0,0,0,0,2,2,2,1,0,0,0,0,1,1,2,-1,-1,-1,0,0,-1,2,0,2,0,2,13,13,12,13,13,13,12,13,1,0.000,3.000,-1.000,0.000,0.000,-1.000,-1.000,13.000,1.000,1.000,7.000,3.000,1.000,4.000,2.000,2.000,21.000,2.000,1.000,2.000,6.000,2.000,4.000
0,0,0,0,2,2,2,2,0,0,0,0,1,1,0,1,0,0,-1,0,-1,2,0,2,0,0,12,13,12,12,12,13,12,13,-1,0.000,0.000,-1.000,0.000,0.000,0.000,0.000,1.000,10.000,1.000,3.000,5.000,0.000,3.000,0.000,1.000,10.000,1.000,0.000,1.000,1.000,1.000,1.000
0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,0,1,1,1,1,0,-1,1,0,1,5,4,11,11,10,10,11,11,11,11,-1,0.000,0.000,-1.000,0.000,0.000,0.000,0.000,15.000,17.000,5.000,7.000,9.000,14.000,9.000,6.000,28.000,2.000,3.000,5.000,2.000,3.000,2.000,1.000
0,0,0,0,0,0,0,0,-1,-1,-1,-1,1,0,1,0,0,0,0,0,-1,2,0,2,0,1,11,11,12,11,12,12,11,12,1,0.000,3.000,-1.000,0.000,0.000,-1.000,-1.000,842.000,680.000,1728.000,769.000,1557.000,1721.000,1795.000,1675.000,1323.000,1020.000,703.000,650.000,793.000,341.000,542.000,550.000
0,0,0,0,0,0,0,0,-1,0,0,-1,0,1,0,0,1,1,1,1,-1,2,0,3,0,0,11,10,10,10,10,10,10,10,-1,0.000,0.000,-1.000,0.000,0.000,0.000,0.000,5.000,8.000,6.000,1.000,2.000,1.000,1.000,1.000,2.000,2.000,13.000,1.000,6.000,2.000,2.000,1.000
-1,-1,-2,0,-1,-1,0,0,-2,-2,-2,-2,1,2,1,1,0,0,-1,0,-1,1,0,1,5,0,9,10,9,9,9,10,10,10,1,0.000,3.000,-1.000,0.000,0.000,-1.000,-1.000,153.000,132.000,287.000,204.000,311.000,469.000,515.000,205.000,218.000,209.000,317.000,372.000,390.000,420.000,605.000,472.000
